ATM,Sitio,CR,Division,Marca,Tipo dispositivo,Estatus dispositivo,Calle,Num. Ext.,Estado,Ciudad,CP,Del/Muni,Colonia,Latitud,Longitud,Tipo localidad,IDC,ETV
D860,IRAPUATO DIAZ ORDAZ,459,BAJIO,WINCOR,PRACTDUAL,ACTIVO,BLVD DIAZ ORDAZ,1301,GUANAJUATO,IRAPUATO,36660,IRAPUATO,LAS REYNAS,20.689138,-101.352777,SUC,WINCOR,APODERADO
D862,MONTERREY LAS TORRES,3818,NORESTE,GRG,PRACTDUAL,ACTIVO,AV LEIJA,4000,NUEVO LEON,MONTERREY,64920,MONTERREY,LAS TORRES,25.621988,-100.284086,SUC,GRG,APODERADO
D863,PLAZA ALTAMA,5865,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,EJERCITO MEXICANO,SN,TAMAULIPAS,TAMPICO,89137,TAMPICO,TAMPICO CENTRO,22.2511936,-97.8618289,SUC,DIEBOLD,APODERADO
D864,PLAZA ALTAMA,5865,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,EJERCITO MEXICANO,SN,TAMAULIPAS,TAMPICO,89137,TAMPICO,TAMPICO CENTRO,22.2511936,-97.8618289,SUC,DIEBOLD,APODERADO
D865,SILAO LIBERTAD,4151,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV LIBERTAD,6 Y 8,GUANAJUATO,SILAO,36100,SILAO DE LA VICTORIA,CENTRO,20.943276,-101.428556,SUC,WINCOR,APODERADO
D866,VERACRUZ INDEPENDENCIA,517,SUR,WINCOR,PRACTDUAL,ACTIVO,INDEPENDENCIA,993,VERACRUZ,VERACRUZ,91700,VERACRUZ,CENTRO,19.201272,-96.139859,SUC,WINCOR,APODERADO
D867,PUEBLA LA LUZ,3736,SUR,WINCOR,PRACTDUAL,ACTIVO,AV 2 ORIENTE,1607,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,72377,PUEBLA,BARRIO DE LA LUZ,19.039607,-98.187699,SUC,WINCOR,APODERADO
D868,PUEBLA LA LUZ,3736,SUR,WINCOR,PRACTDUAL,ACTIVO,AV 2 ORIENTE,1607,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,72377,PUEBLA,BARRIO DE LA LUZ,19.039607,-98.187699,SUC,WINCOR,APODERADO
D869,JURICA,5731,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV 5 DE FEBRERO,2125,QUERETARO,QUERETARO,76100,QUERETARO,JURICA,20.649024,-100.433176,SUC,WINCOR,APODERADO
D870,JURICA,5731,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV 5 DE FEBRERO,2125,QUERETARO,QUERETARO,76100,QUERETARO,JURICA,20.649024,-100.433176,SUC,WINCOR,APODERADO
D871,PARQUE INDUSTRIAL BERNARDO QUINTANA,720,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV DEL PARQUE,4A,QUERETARO,EL MARQUES,76246,EL MARQUES,PARQUE INDUSTRIAL BERNARDO QUINTANA,20.569217,-100.273074,SUC,WINCOR,APODERADO
D872,SAN NICOLAS UNIVERSIDAD NORTE,219,NORESTE,WINCOR,PRACTDUAL,ACTIVO,AV ANTONIO MACHADO,115,NUEVO LEON,SAN NICOLAS DE LOS GARZA,66450,SAN NICOLAS DE LOS GARZA,ANAHUAC,25.740483,-100.303497,SUC,WINCOR,APODERADO
D873,GUADALAJARA PLAZA ARBOLEDAS,3879,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,AV ARBOLEDAS,2500,JALISCO,GUADALAJARA,44540,GUADALAJARA,JUAREZ,20.646813,-103.386145,SUC,GRG,APODERADO
D874,GUADALAJARA PLAZA ARBOLEDAS,3879,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,AV ARBOLEDAS,2500,JALISCO,GUADALAJARA,44540,GUADALAJARA,JUAREZ,20.646813,-103.386145,SUC,GRG,APODERADO
D875,EMILIANO ZAPATA,4788,SUR,DIEBOLD,PRACTDUAL,ACTIVO,AV CONSTITUCION,NO 38,MORELOS,EMILIANO ZAPATA,62766,EMILIANO ZAPATA,CAMPO NUEVO,18.831518,-99.18721,SUC,DIEBOLD,APODERADO
D876,ZAPOPAN PLAZA SUR,596,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,AV CRUZ DEL SUR,3689,JALISCO,ZAPOPAN,45086,ZAPOPAN,LOMA BONITA,20.636516,-103.396897,SUC,WINCOR,APODERADO
D877,ZAPOPAN PLAZA SUR,596,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,AV CRUZ DEL SUR,3689,JALISCO,ZAPOPAN,45086,ZAPOPAN,LOMA BONITA,20.636516,-103.396897,SUC,WINCOR,APODERADO
D878,GLORIETA CAMARONES,58,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV CUITLAHUAC,3331,DISTRITO FEDERAL,CIUDAD DE MEXICO,2840,AZCAPOTZALCO,OBRERO POPULAR,19.4678456,-99.17623611,SUC,WINCOR,APODERADO
D879,GLORIETA CAMARONES,58,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV CUITLAHUAC,3331,DISTRITO FEDERAL,CIUDAD DE MEXICO,2840,AZCAPOTZALCO,OBRERO POPULAR,19.467766,-99.176137,SUC,WINCOR,APODERADO
D880,GLORIETA CAMARONES,58,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV CUITLAHUAC,3331,DISTRITO FEDERAL,CIUDAD DE MEXICO,2840,AZCAPOTZALCO,OBRERO POPULAR,19.4678456,-99.17623611,SUC,WINCOR,APODERADO
D881,GLORIETA CAMARONES,58,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV CUITLAHUAC,3331,DISTRITO FEDERAL,CIUDAD DE MEXICO,2840,AZCAPOTZALCO,OBRERO POPULAR,19.4678456,-99.17623611,SUC,WINCOR,APODERADO
D882,GLORIETA CAMARONES,58,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV CUITLAHUAC,3331,DISTRITO FEDERAL,CIUDAD DE MEXICO,2840,AZCAPOTZALCO,OBRERO POPULAR,19.4678456,-99.17623611,SUC,WINCOR,APODERADO
D883,GLORIETA CAMARONES,58,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV CUITLAHUAC,3331,DISTRITO FEDERAL,CIUDAD DE MEXICO,2840,AZCAPOTZALCO,OBRERO POPULAR,19.4678456,-99.17623611,SUC,WINCOR,APODERADO
D884,MONTERREY TEC,223,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,AV EUGENIO GARZA SADA,2406,NUEVO LEON,MONTERREY,64700,MONTERREY,ROMA,25.653422,-100.294052,SUC,DIEBOLD,APODERADO
D885,HEB SANTA CATARINA,5195,NORESTE,WINCOR,PRACTDUAL,ACTIVO,AV GUSTAVO DIAZ ORDAZ,108,NUEVO LEON,CIUDAD SANTA CATARINA,66150,SANTA CATARINA,LOS TREVI�O,25.673173,-100.430355,SUC,WINCOR,APODERADO
D886,MONTERREY VISTA HERMOSA,3779,NORESTE,GRG,PRACTDUAL,ACTIVO,AV INSURGENTES PONIENTE,480,NUEVO LEON,MONTERREY,64620,MONTERREY,VISTA HERMOSA,25.744499,-100.312126,SUC,GRG,APODERADO
D887,MONTERREY VISTA HERMOSA,3779,NORESTE,WINCOR,PRACTDUAL,ACTIVO,AV INSURGENTES PONIENTE,480,NUEVO LEON,MONTERREY,64620,MONTERREY,VISTA HERMOSA,25.684039,-100.353486,SUC,WINCOR,APODERADO
D888,TECATE OFICINA PRINCIPAL,6609,NOROESTE,WINCOR,PRACTDUAL,ACTIVO,AV JUAREZ,47,BAJA CALIFORNIA,TECATE,21400,TECATE,TECATE CENTRO,32.573419,-116.627307,SUC,WINCOR,APODERADO
D889,TECATE OFICINA PRINCIPAL,6609,NOROESTE,WINCOR,PRACTDUAL,ACTIVO,AV JUAREZ,47,BAJA CALIFORNIA,TECATE,21400,TECATE,TECATE CENTRO,32.573419,-116.627307,SUC,WINCOR,APODERADO
D890,PLAZA EL MANANTIAL,5229,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,AV ADOLFO LOPEZ MATEOS SUR,5570,JALISCO,TLAJOMULCO DE ZU�IGA,45645,TLAJOMULCO DE ZU�IGA,EL MANANTIAL,20.565833,-103.459937,SUC,GRG,APODERADO
D891,PLAZA EL MANANTIAL,5229,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,AV ADOLFO LOPEZ MATEOS SUR,5570,JALISCO,TLAJOMULCO DE ZU�IGA,45645,TLAJOMULCO DE ZU�IGA,EL MANANTIAL,20.565833,-103.459937,SUC,GRG,APODERADO
D892,FIESTA ANAHUAC MONTERREY,4664,NORESTE,GRG,PRACTDUAL,ACTIVO,AVENIDA MANUEL BARRAGAN,325 NTE,NUEVO LEON,SAN NICOLAS DE LOS GARZA,66457,SAN NICOLAS DE LOS GARZA,RESIDENCIAL ANAHUAC,25.744512,-100.312122,SUC,GRG,APODERADO
D893,LAZARO CARDENAS MELCHOR OCAMPO,310,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,AV MELCHOR OCAMPO,190,MICHOACAN,CIUDAD LAZARO CARDENAS,60950,LAZARO CARDENAS,3� SECTOR DE FIDEICOMISO LAZARO CARDENAS,17.96332,-102.21441,SUC,WINCOR,APODERADO
D894,LAZARO CARDENAS MELCHOR OCAMPO,310,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,AV MELCHOR OCAMPO,190,MICHOACAN,CIUDAD LAZARO CARDENAS,60950,LAZARO CARDENAS,3� SECTOR DE FIDEICOMISO LAZARO CARDENAS,17.963744,-102.214621,SUC,WINCOR,APODERADO
D895,TLAQUEPAQUE JARDINES DE LA PAZ,1064,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,AV REVOLUCION,80,JALISCO,TLAQUEPAQUE,45519,SAN PEDRO TLAQUEPAQUE,JARDINES DE LA PAZ,20.640606,-103.301428,SUC,WINCOR,APODERADO
D896,TLAQUEPAQUE JARDINES DE LA PAZ,1064,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,AV REVOLUCION,80,JALISCO,TLAQUEPAQUE,45519,SAN PEDRO TLAQUEPAQUE,JARDINES DE LA PAZ,20.66943,-103.347609,SUC,GRG,APODERADO
D897,CUERNAVACA PLAZA CUERNAVACA,3917,SUR,WINCOR,PRACTDUAL,ACTIVO,AV VICENTE GUERRERO,110,MORELOS,CUERNAVACA,62270,CUERNAVACA,LOMAS DE LA SELVA,18.93449871,-99.22857737,SUC,WINCOR,APODERADO
D898,CUERNAVACA PLAZA CUERNAVACA,3917,SUR,WINCOR,PRACTDUAL,ACTIVO,AV VICENTE GUERRERO,110,MORELOS,CUERNAVACA,62270,CUERNAVACA,LOMAS DE LA SELVA,18.93449871,-99.22857737,SUC,WINCOR,APODERADO
D899,CENTRO MEDICO,1059,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,BELISARIOS DOMINGUEZ,810,JALISCO,GUADALAJARA,44340,GUADALAJARA,INDEPENDENCIA ORIENTE,20.684986,-103.32595,SUC,GRG,APODERADO
D901,PUEBLA LAS ANIMAS,527,SUR,WINCOR,PRACTDUAL,ACTIVO,BLVD ATLIXCO,3156,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,72400,PUEBLA,FRACC LAS ANIMAS,19.045892,-98.234373,SUC,WINCOR,APODERADO
D902,PUEBLA LAS ANIMAS,527,SUR,GRG,PRACTDUAL,ACTIVO,BLVD ATLIXCO,3156,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,72400,PUEBLA,FRACC LAS ANIMAS,19.04536,-98.234238,SUC,GRG,APODERADO
D903,SALTILLO SAN ISIDRO,386,NORESTE,WINCOR,PRACTDUAL,ACTIVO,BLVD NAZARIO ORTIZ GARZA,3385,COAHUILA,SALTILLO,25280,SALTILLO,DOCTORES,25.463048,-100.978961,SUC,WINCOR,APODERADO
D904,SALTILLO SAN ISIDRO,386,NORESTE,WINCOR,PRACTDUAL,ACTIVO,BLVD NAZARIO ORTIZ GARZA,3385,COAHUILA,SALTILLO,25280,SALTILLO,DOCTORES,25.463048,-100.978961,SUC,WINCOR,APODERADO
D905,PUEBLA SAN PEDRO,522,SUR,WINCOR,PRACTDUAL,ACTIVO,BLVD NORTE,NO 2210 LOC 56,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,72070,PUEBLA,LAS HADAS,19.065472,-98.214699,SUC,WINCOR,APODERADO
D906,PUEBLA SAN PEDRO,522,SUR,WINCOR,PRACTDUAL,ACTIVO,BLVD NORTE,NO 2210 LOC 56,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,72070,PUEBLA,LAS HADAS,19.065472,-98.214699,SUC,WINCOR,APODERADO
D907,TACAMBARO CENTRO,344,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,REVOLUCION,40 A,MICHOACAN,TACAMBARO DE CODALLOS,61650,TACAMBARO,TACAMBARO DE CODALLOS CENTRO,19.23533,-101.457585,SUC,WINCOR,APODERADO
D908,HUEHUETOCA,3717,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV JUAREZ,16,ESTADO DE MEXICO,HUEHUETOCA,54680,HUEHUETOCA,CABECERA MUNICIPIO DE HUEHUETOCA,19.83346352,-99.20459245,SUC,WINCOR,APODERADO
D909,COLIMA MADERO,1257,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,FRANCISCO I MADERO,106,COLIMA,COLIMA,28000,COLIMA,CENTRO,19.242084,-103.726274,SUC,DIEBOLD,APODERADO
D910,COMERCIAL INDEPENDENCIA,1019,OCCIDENTE,NCR,PRACTDUAL,ACTIVO,CALZ INDEPENDENCIA NORTE,1544,JALISCO,GUADALAJARA,44290,GUADALAJARA,INDEPENDENCIA,20.718681,-103.319656,SUC,NCR,APODERADO
D911,COMERCIAL INDEPENDENCIA,1019,OCCIDENTE,NCR,PRACTDUAL,ACTIVO,CALZ INDEPENDENCIA NORTE,1544,JALISCO,GUADALAJARA,44290,GUADALAJARA,INDEPENDENCIA,20.718681,-103.319656,SUC,NCR,APODERADO
D912,INDEPENDENCIA,478,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,CALZ INDEPENDENCIA NORTE,3295,JALISCO,GUADALAJARA,44240,GUADALAJARA,RICARDO FLORES MAGON,20.71923495,-103.3194553,SUC,GRG,APODERADO
D913,INDEPENDENCIA,478,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,CALZ INDEPENDENCIA NORTE,3295,JALISCO,GUADALAJARA,44240,GUADALAJARA,RICARDO FLORES MAGON,20.71923495,-103.3194553,SUC,GRG,APODERADO
D914,HEB LA PUERTA,4778,NORESTE,WINCOR,PRACTDUAL,ACTIVO,CTRA MONTERREY SALTILLO,2640,NUEVO LEON,CIUDAD SANTA CATARINA,66358,SANTA CATARINA,CUMBRES DE SANTA CATARINA,25.684185,-100.486623,SUC,WINCOR,APODERADO
D915,QUERETARO EJERCITO REPUBLICANO,5724,BAJIO,WINCOR,PRACTDUAL,ACTIVO,EJERCITO REPUBLICANO,129,QUERETARO,QUERETARO,76050,QUERETARO,CARRETAS,20.589553,-100.374056,SUC,WINCOR,APODERADO
D916,QUERETARO EJERCITO REPUBLICANO,5724,BAJIO,WINCOR,PRACTDUAL,ACTIVO,EJERCITO REPUBLICANO,129,QUERETARO,QUERETARO,76050,QUERETARO,CARRETAS,20.589553,-100.374056,SUC,WINCOR,APODERADO
D917,VERACRUZ OCAMPO,5899,SUR,DIEBOLD,PRACTDUAL,ACTIVO,GRAL PRIM,44,VERACRUZ,VERACRUZ,91700,VERACRUZ,CENTRO,19.193255,-96.138213,SUC,DIEBOLD,APODERADO
D918,VERACRUZ OCAMPO,5899,SUR,DIEBOLD,PRACTDUAL,ACTIVO,GRAL PRIM,44,VERACRUZ,VERACRUZ,91700,VERACRUZ,CENTRO,19.193255,-96.138213,SUC,DIEBOLD,APODERADO
D919,GUADALAJARA MIRAVALLE,1041,OCCIDENTE,NCR,PRACTDUAL,ACTIVO,JORGE GONZALEZ CAMARENA,4168,JALISCO,GUADALAJARA,44990,GUADALAJARA,MIRAVALLE,20.612705,-103.350509,SUC,NCR,APODERADO
D920,GUADALAJARA MIRAVALLE,1041,OCCIDENTE,NCR,PRACTDUAL,ACTIVO,JORGE GONZALEZ CAMARENA,4168,JALISCO,GUADALAJARA,44990,GUADALAJARA,MIRAVALLE,20.612705,-103.350509,SUC,NCR,APODERADO
D921,TLAXCOAPAN,5603,BAJIO,WINCOR,PRACTDUAL,ACTIVO,PLAZA JUAREZ,13,HIDALGO,TLAXCOAPAN,42950,TLAXCOAPAN,CENTRO,20.0912373,-99.222035,SUC,WINCOR,APODERADO
D922,SAN MIGUEL DE ALLENDE PLAZA LUCIERNAGA,5204,BAJIO,WINCOR,PRACTDUAL,ACTIVO,LIBRAMIENTO MANUEL ZAVALA,165,GUANAJUATO,SAN MIGUEL DE ALLENDE,37745,SAN MIGUEL DE ALLENDE,LA LUCIERNAGA,20.90423,-100.729256,SUC,WINCOR,APODERADO
D923,PUREPERO POSTAL GUERRERO,6748,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,PORTAL GUERRERO,SN,MICHOACAN,PUREPERO,58760,PUREPERO,PUREPERO DE ECHAIZ,19.910153,-102.008015,SUC,WINCOR,APODERADO
D924,SAN CRISTOBAL OFICINA PRINCIPAL,4439,SURESTE,WINCOR,PRACTDUAL,ACTIVO,PLAZA 31 DE MARZO,12,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,29200,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS,16.7479576,-92.6298963,SUC,WINCOR,APODERADO
D925,SAN CRISTOBAL OFICINA PRINCIPAL,4439,SURESTE,GRG,PRACTDUAL,ACTIVO,PLAZA 31 DE MARZO,12,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,29200,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS,16.74806069,-92.62990362,SUC,GRG,APODERADO
D926,SAN CRISTOBAL OFICINA PRINCIPAL,4439,SURESTE,GRG,PRACTDUAL,ACTIVO,PLAZA 31 DE MARZO,12,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,29200,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS,16.74806069,-92.62990362,SUC,GRG,APODERADO
D927,SAN CRISTOBAL OFICINA PRINCIPAL,4439,SURESTE,GRG,PRACTDUAL,ACTIVO,PLAZA 31 DE MARZO,12,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,29200,SAN CRISTOBAL DE LAS CASAS,CENTRO,16.74806069,-92.62990362,SUC,GRG,APODERADO
D928,SAN CRISTOBAL OFICINA PRINCIPAL,4439,SURESTE,GRG,PRACTDUAL,ACTIVO,PLAZA 31 DE MARZO,12,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,29200,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS,16.74806069,-92.62990362,SUC,GRG,APODERADO
D931,PACHUCA CENTRO,736,BAJIO,GRG,PRACTDUAL,ACTIVO,PLAZA INDEPENDENCIA,114,HIDALGO,PACHUCA DE SOTO,42000,PACHUCA DE SOTO,CENTRO,20.128008,-98.732099,SUC,GRG,APODERADO
D932,PACHUCA CENTRO,736,BAJIO,GRG,PRACTDUAL,ACTIVO,PLAZA INDEPENDENCIA,114,HIDALGO,PACHUCA DE SOTO,42000,PACHUCA DE SOTO,CENTRO,20.128008,-98.732099,SUC,GRG,APODERADO
D933,PACHUCA CENTRO,736,BAJIO,GRG,PRACTDUAL,ACTIVO,PLAZA INDEPENDENCIA,114,HIDALGO,PACHUCA DE SOTO,42000,PACHUCA DE SOTO,CENTRO,20.128008,-98.732099,SUC,GRG,APODERADO
D934,AMERICAS NERUDA,423,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,PROL AV AMERICAS,1509,JALISCO,GUADALAJARA,44630,GUADALAJARA,PROVIDENCIA,20.698288,-103.374747,SUC,DIEBOLD,APODERADO
D935,CIUDAD VICTORIA CARRERA,750,NORESTE,WINCOR,PRACTDUAL,ACTIVO,QUINCEAVA CARRERA TORRE,249,TAMAULIPAS,CIUDAD VICTORIA,87000,VICTORIA,CIUDAD VICTORIA CENTRO,23.737861,-99.15,SUC,WINCOR,APODERADO
D936,CIUDAD VICTORIA CARRERA,750,NORESTE,WINCOR,PRACTDUAL,ACTIVO,QUINCEAVA CARRERA TORRE,249,TAMAULIPAS,CIUDAD VICTORIA,87000,VICTORIA,CIUDAD VICTORIA CENTRO,23.737861,-99.15,SUC,WINCOR,APODERADO
D937,EL SALTO,628,OCCIDENTE,NCR,PRACTDUAL,ACTIVO,RAMON CORONA,23,JALISCO,EL SALTO,45680,EL SALTO,EL SALTO CENTRO,23.78032,-105.360347,SUC,NCR,APODERADO
D939,TLAQUEPAQUE PLAZA RIO NILO,1066,OCCIDENTE,GRG,PRACTDUAL,ACTIVO,SAN RAFAEL,SN,JALISCO,TLAQUEPAQUE,45500,SAN PEDRO TLAQUEPAQUE,TLAQUEPAQUE CENTRO,20.645385,-103.311786,SUC,GRG,APODERADO
D940,SALTILLO CENTRO,262,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,VICTORIA,101,COAHUILA,SALTILLO,25000,SALTILLO,CENTRO,25.421966,-101.001757,SUC,DIEBOLD,APODERADO
D941,SALTILLO CENTRO,262,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,VICTORIA,101,COAHUILA,SALTILLO,25000,SALTILLO,CENTRO,25.421966,-101.001757,SUC,DIEBOLD,APODERADO
D942,JARDINES DE TULTITLAN,3688,METROPOLITANA NORTE,DIEBOLD,PRACTDUAL,ACTIVO,AV PRADOS SN LOCS. B19 AL B22,0,ESTADO DE MEXICO,TULTITLAN DE MARIANO ESCOBEDO,54930,TULTITLAN,SAN PABLO DE LAS SALINAS,19.675655,-99.08038,SUC,DIEBOLD,APODERADO
D943,HAMBURGO,4703,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,CALZ FRANCISCO VILLA,601,DURANGO,GOMEZ PALACIO,35018,GOMEZ PALACIO,FRACC RINCONADAS HAMBURGO,25.597606,-103.497746,SUC,DIEBOLD,APODERADO
D944,PLAZA HOLLYWOOD,5103,SURESTE,WINCOR,PRACTDUAL,ACTIVO,AV PALENQUE,MZ 1,QUINTANA ROO,CANCUN,77505,BENITO JUAREZ,SUPUERMANZA 35�,21.1551156,-86.83462654,SUC,WINCOR,APODERADO
D945,PLAZA HOLLYWOOD,5103,SURESTE,WINCOR,PRACTDUAL,ACTIVO,AV PALENQUE,MZ 1,QUINTANA ROO,CANCUN,77505,BENITO JUAREZ,SUPUERMANZA 35�,21.1551156,-86.83462654,SUC,WINCOR,APODERADO
D946,CANCUN AV TULUM,850,SURESTE,NCR,PRACTDUAL,ACTIVO,AV TULUM,27,QUINTANA ROO,CANCUN,77500,BENITO JUAREZ,CENTRO,21.15989981,-86.82504965,SUC,NCR,APODERADO
D947,CANCUN AV TULUM,850,SURESTE,NCR,PRACTDUAL,ACTIVO,AV TULUM,27,QUINTANA ROO,CANCUN,77500,BENITO JUAREZ,CENTRO,21.15989981,-86.82504965,SUC,NCR,APODERADO
D948,PLAYACAR CENTRO MAYA,5133,SURESTE,WINCOR,PRACTDUAL,ACTIVO,CTRA FEDERAL TULUM CANCUN,LOTE 1,QUINTANA ROO,PLAYA DEL CARMEN,77712,SOLIDARIDAD,EJIDAL DE LOCALIDAD PLAYA DEL CARMEN,20.6199533,-87.09720677,SUC,WINCOR,APODERADO
D949,PLAYACAR CENTRO MAYA,5133,SURESTE,WINCOR,PRACTDUAL,ACTIVO,CTRA FEDERAL TULUM CANCUN,LOTE 1,QUINTANA ROO,PLAYA DEL CARMEN,77712,SOLIDARIDAD,EJIDAL DE LOCALIDAD PLAYA DEL CARMEN,20.6199533,-87.09720677,SUC,WINCOR,APODERADO
D950,GALERIAS METROPOLITANA URIANGATO DOS,6062,BAJIO,GRG,PRACTDUAL,ACTIVO,BLVD URIANGATO,240,GUANAJUATO,URIANGATO,38983,URIANGATO,COLINAS,20.1193202,-101.17898,REM,GRG,SEPSA
D951,GALERIAS METROPOLITANA URIANGATO TRES,6062,BAJIO,GRG,PRACTDUAL,ACTIVO,BLVD URIANGATO,240,GUANAJUATO,URIANGATO,38983,URIANGATO,COLINAS,20.1193202,-101.17898,REM,GRG,SEPSA
D952,TULANCINGO,5587,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,ZARAGOZA,SN,HIDALGO,TULANCINGO,43600,TULANCINGO DE BRAVO,CENTRO,20.080191,-98.368635,SUC,DIEBOLD,APODERADO
D953,TULANCINGO,5587,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,ZARAGOZA,SN,HIDALGO,TULANCINGO,43600,TULANCINGO DE BRAVO,CENTRO,20.080191,-98.368635,SUC,DIEBOLD,APODERADO
D954,TULANCINGO,5587,BAJIO,WINCOR,PRACTDUAL,ACTIVO,ZARAGOZA,SN,HIDALGO,TULANCINGO,43600,TULANCINGO DE BRAVO,CENTRO,20.080191,-98.368635,SUC,WINCOR,APODERADO
D955,TULANCINGO,5587,BAJIO,WINCOR,PRACTDUAL,ACTIVO,ZARAGOZA,SN,HIDALGO,TULANCINGO,43600,TULANCINGO DE BRAVO,CENTRO,20.080191,-98.368635,SUC,WINCOR,APODERADO
D956,TULANCINGO,5587,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,ZARAGOZA,SN,HIDALGO,TULANCINGO,43600,TULANCINGO DE BRAVO,CENTRO,20.080191,-98.368635,SUC,DIEBOLD,APODERADO
D957,AGUASCALIENTES EXPOPLAZA,3939,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV CONVENCION DE 1914 PONIENTE,250,AGUASCALIENTES,AGUASCALIENTES,20080,AGUASCALIENTES,FRACC MODELO,21.874606,-102.311599,SUC,WINCOR,APODERADO
D958,PACHUCA,4109,BAJIO,NCR,PRACTDUAL,ACTIVO,AV JUAREZ,401,HIDALGO,PACHUCA DE SOTO,42000,PACHUCA DE SOTO,CENTRO,20.120993,-98.739149,SUC,NCR,APODERADO
D959,PACHUCA,4109,BAJIO,NCR,PRACTDUAL,ACTIVO,AV JUAREZ,401,HIDALGO,PACHUCA DE SOTO,42000,PACHUCA DE SOTO,CENTRO,20.120993,-98.739149,SUC,NCR,APODERADO
D960,PACHUCA NUEVO EDIFICIO MADERO,5580,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV MADERO,1200,HIDALGO,PACHUCA DE SOTO,42090,PACHUCA DE SOTO,CESPEDES,20.113003,-98.723737,SUC,WINCOR,APODERADO
D961,PACHUCA NUEVO EDIFICIO MADERO,5580,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV MADERO,1200,HIDALGO,PACHUCA DE SOTO,42090,PACHUCA DE SOTO,CESPEDES,20.113003,-98.723737,SUC,WINCOR,APODERADO
D962,OJOCALIENTE CENTRO,5968,BAJIO,GRG,PRACTDUAL,ACTIVO,PLAZA PRINCIPAL,22,ZACATECAS,OJOCALIENTE,98700,OJOCALIENTE,CENTRO,22.571868,-102.252497,SUC,GRG,APODERADO
D963,PLAZA ARCOS,4784,BAJIO,GRG,PRACTDUAL,ACTIVO,MONTE BLANCO,678,AGUASCALIENTES,AGUASCALIENTES,20115,AGUASCALIENTES,VILLAS DE SAN NICOLAS,21.925696,-102.300935,SUC,GRG,APODERADO
D964,CALKINI CAMPECHE,5325,SURESTE,WINCOR,PRACTDUAL,ACTIVO,CALLE 23,101,CAMPECHE,CALKINI,24900,CALKINI,CENTRO,20.368663,-90.051237,SUC,WINCOR,APODERADO
